Batsmen				Runs		Balls		SR		4s		6s
Rohit Sharma	,	c Steve Smith b Amit Mishra	,	44	,	30	,	146.66	,	3	,	3
Quinton de Kock	,	c Rishabh Pant b Marcus Stoinis	,	2	,	4	,	50	,	0	,	0
Suryakumar Yadav	,	c Rishabh Pant b Avesh Khan	,	24	,	15	,	160	,	4	,	0
Ishan Kishan	,	b Amit Mishra	,	26	,	28	,	92.85	,	1	,	1
Hardik Pandya	,	c Steve Smith b Amit Mishra	,	0	,	1	,	0	,	0	,	0
Krunal Pandya	,	b Lalit Yadav	,	1	,	5	,	20	,	0	,	0
Kieron Pollard	,	lbw Amit Mishra	,	2	,	5	,	40	,	0	,	0
Jayant Yadav	,	c & b Kagiso Rabada	,	23	,	22	,	104.54	,	1	,	0
Rahul Chahar	,	c Rishabh Pant b Avesh Khan	,	6	,	6	,	100	,	1	,	0
Jasprit Bumrah	,	NOT OUT	,	3	,	3	,	100	,	0	,	0
Trent Boult	,	NOT OUT	,	1	,	1	,	100	,	0	,	0
Prithvi Shaw	,	c & b Jayant Yadav	,	7	,	5	,	140	,	1	,	0
Shikhar Dhawan	,	c Krunal Pandya b Rahul Chahar	,	45	,	42	,	107.14	,	5	,	1
Steve Smith	,	lbw Kieron Pollard	,	33	,	29	,	113.79	,	4	,	0
Lalit Yadav	,	NOT OUT	,	22	,	25	,	88	,	1	,	0
Rishabh Pant	,	c Krunal Pandya b Jasprit Bumrah	,	7	,	8	,	87.5	,	1	,	0
Shimron Hetmyer	,	NOT OUT	,	14	,	9	,	155.55	,	2	,	0
