Batsmen				Runs		Balls		SR		4s		6s
Ruturaj Gaikwad	,	c Kyle Jamieson b Yuzvendra Chahal	,	33	,	25	,	132	,	4	,	1
Faf du Plessis	,	c Dan Christian b Harshal Patel	,	50	,	41	,	121.95	,	5	,	1
Suresh Raina	,	c Devdutt Padikkal b Harshal Patel	,	24	,	18	,	133.33	,	1	,	3
Ambati Rayudu	,	c Kyle Jamieson b Harshal Patel	,	14	,	7	,	200	,	1	,	1
Ravindra Jadeja	,	NOT OUT	,	62	,	28	,	221.42	,	4	,	5
MS Dhoni	,	NOT OUT	,	2	,	3	,	66.66	,	0	,	0
Virat Kohli	,	c MS Dhoni b Sam Curran	,	8	,	7	,	114.28	,	1	,	0
Devdutt Padikkal	,	c Suresh Raina b Shardul Thakur	,	34	,	15	,	226.66	,	4	,	2
Washington Sundar	,	c Ruturaj Gaikwad b Ravindra Jadeja	,	7	,	11	,	63.63	,	1	,	0
Glenn Maxwell	,	b Ravindra Jadeja	,	22	,	15	,	146.66	,	3	,	0
AB de Villiers	,	b Ravindra Jadeja	,	4	,	9	,	44.44	,	0	,	0
Dan Christian	,	run out (Ravindra Jadeja)	,	1	,	3	,	33.33	,	0	,	0
Kyle Jamieson	,	run out (Imran Tahir)	,	16	,	13	,	123.07	,	1	,	1
Harshal Patel	,	b Imran Tahir	,	0	,	8	,	0	,	0	,	0
Navdeep Saini	,	c Suresh Raina b Imran Tahir	,	2	,	4	,	50	,	0	,	0
Yuzvendra Chahal	,	NOT OUT	,	8	,	21	,	38.09	,	0	,	0
Mohammed Siraj	,	NOT OUT	,	12	,	14	,	85.71	,	0	,	1
