Batsmen				Runs		Balls		SR		4s		6s
Quinton de Kock	,	c sub (Jagadeesha Suchith) b Mujeeb Ur Rahman	,	40	,	39	,	102.56	,	5	,	0
Rohit Sharma	,	c Virat Singh b Vijay Shankar	,	32	,	25	,	128	,	2	,	2
Suryakumar Yadav	,	c & b Vijay Shankar	,	10	,	6	,	166.66	,	1	,	1
Ishan Kishan	,	c Jonny Bairstow b Mujeeb Ur Rahman	,	12	,	21	,	57.14	,	0	,	0
Kieron Pollard	,	NOT OUT	,	35	,	22	,	159.09	,	1	,	3
Hardik Pandya	,	c Virat Singh b Khaleel Ahmed	,	7	,	5	,	140	,	1	,	0
Krunal Pandya	,	NOT OUT	,	3	,	3	,	100	,	0	,	0
David Warner	,	run out (Hardik Pandya)	,	36	,	34	,	105.88	,	2	,	2
Jonny Bairstow	,	Hit wicket	,	43	,	22	,	195.45	,	3	,	4
Manish Pandey	,	c Kieron Pollard b Rahul Chahar	,	2	,	7	,	28.57	,	0	,	0
Virat Singh	,	c Suryakumar Yadav b Rahul Chahar	,	11	,	12	,	91.66	,	1	,	0
Vijay Shankar	,	c Suryakumar Yadav b Jasprit Bumrah	,	28	,	25	,	112	,	0	,	2
Abhishek Sharma	,	c Adam Milne b Rahul Chahar	,	2	,	4	,	50	,	0	,	0
Abdul Samad	,	run out (Hardik Pandya)	,	7	,	8	,	87.5	,	1	,	0
Rashid Khan	,	lbw Trent Boult	,	0	,	1	,	0	,	0	,	0
Bhuvneshwar Kumar	,	b Trent Boult	,	1	,	2	,	50	,	0	,	0
Mujeeb Ur Rahman	,	NOT OUT	,	1	,	1	,	100	,	0	,	0
Khaleel Ahmed	,	b Trent Boult	,	1	,	2	,	50	,	0	,	0
