Batsmen				Runs		Balls		SR		4s		6s
Ruturaj Gaikwad	,	c Shivam Dube b Mustafizur Rahman	,	10	,	13	,	76.92	,	1	,	0
Faf du Plessis	,	c Riyan Parag b Chris Morris	,	33	,	17	,	194.11	,	4	,	2
Moeen Ali	,	c Riyan Parag b Rahul Tewatia	,	26	,	20	,	130	,	1	,	2
Suresh Raina	,	c Chris Morris b Chetan Sakariya	,	18	,	15	,	120	,	1	,	1
Ambati Rayudu	,	c Riyan Parag b Chetan Sakariya	,	27	,	17	,	158.82	,	0	,	3
Ravindra Jadeja	,	c Sanju Samson b Chris Morris	,	8	,	7	,	114.28	,	1	,	0
MS Dhoni	,	c Jos Buttler b Chetan Sakariya	,	18	,	17	,	105.88	,	2	,	0
Sam Curran	,	run out (Mustafizur Rahman/Sanju Samson)	,	13	,	6	,	216.66	,	0	,	1
Dwayne Bravo	,	NOT OUT	,	20	,	8	,	250	,	2	,	1
Shardul Thakur	,	run out (Sanju Samson/Mustafizur Rahman)	,	1	,	1	,	100	,	0	,	0
Jos Buttler	,	b Ravindra Jadeja	,	49	,	35	,	140	,	5	,	2
Manan Vohra	,	c Ravindra Jadeja b Sam Curran	,	14	,	11	,	127.27	,	1	,	1
Sanju Samson	,	c Dwayne Bravo b Sam Curran	,	1	,	5	,	20	,	0	,	0
Shivam Dube	,	lbw Ravindra Jadeja	,	17	,	20	,	85	,	2	,	0
David Miller	,	lbw Moeen Ali	,	2	,	5	,	40	,	0	,	0
Riyan Parag	,	c Ravindra Jadeja b Moeen Ali	,	3	,	7	,	42.85	,	0	,	0
Rahul Tewatia	,	c Ruturaj Gaikwad b Dwayne Bravo	,	20	,	15	,	133.33	,	0	,	2
Chris Morris	,	c Ravindra Jadeja b Moeen Ali	,	0	,	2	,	0	,	0	,	0
Jaydev Unadkat	,	c Ravindra Jadeja b Shardul Thakur	,	24	,	17	,	141.17	,	2	,	1
Chetan Sakariya	,	NOT OUT	,	0	,	0	,	0	,	0	,	0
Mustafizur Rahman	,	NOT OUT	,	0	,	4	,	0	,	0	,	0
